timestamp,action_type,file_path_before,file_path_after,hash_before,hash_after,note
ProjectName,CREATE_CHANGELOG,N/A,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper/changelog.csv,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
ProjectName,CREATE_DUBLIN_CORE_JSON,N/A,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper/metadata.json,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
20260615-09:32:27.339849,INGEST_FILE,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper/cli.py,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.286809/cli.py,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,created directory /home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.286809. >f+++++++++ cli.py. 
20260615-09:32:27.342890,VALIDATE_FILETYPE,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.286809/cli.py,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.286809/cli.py,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,File validation succeeded.
20260615-09:32:27.432933,INGEST_FILE,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper/during2001.jpg,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.343320/during2001.jpg,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,created directory /home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.343320. >f+++++++++ during2001.jpg. 
20260615-09:32:27.477267,VALIDATE_FILETYPE,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.343320/during2001.jpg,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.343320/during2001.jpg,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,File validation failed.
20260615-09:32:27.517647,QUARANTINE_FILE,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper2026-06-15 09:32:27.343320/during2001.jpg,/home/ld/Documents/Coding/ongoingProjects/ArchivistsHelper/quarantine//during2001.jpg,N/A,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,This file was quarantined due to failed file validation.
